schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,is_identity,is_computed
analysis,assessment,1,assessment_pk,bigint,8,19,0,0,1,0
analysis,assessment,2,estate_model_pk,bigint,8,19,0,0,0,0
analysis,assessment,3,integrity_rule_pk,bigint,8,19,0,0,0,0
analysis,assessment,4,assessment_kind,varchar,64,0,0,0,0,0
analysis,assessment,5,scope_digest,binary,32,0,0,0,0,0
analysis,assessment,6,input_set_digest,binary,32,0,0,0,0,0
analysis,assessment,7,evaluation_state,varchar,64,0,0,0,0,0
analysis,assessment,8,evaluated_at,datetime2,8,27,7,1,0,0
analysis,assessment_definition_input,1,assessment_pk,bigint,8,19,0,0,0,0
analysis,assessment_definition_input,2,semantic_object_definition_pk,bigint,8,19,0,0,0,0
analysis,assessment_definition_input,3,role,varchar,64,0,0,0,0,0
analysis,assessment_source_input,1,assessment_pk,bigint,8,19,0,0,0,0
analysis,assessment_source_input,2,source_observation_pk,bigint,8,19,0,0,0,0
analysis,assessment_source_input,3,role,varchar,64,0,0,0,0,0
analysis,circuit_assessment,1,assessment_pk,bigint,8,19,0,0,0,0
analysis,circuit_assessment,2,blueprint_version_pk,bigint,8,19,0,0,0,0
analysis,circuit_assessment,3,blueprint_node_pk,bigint,8,19,0,1,0,0
analysis,circuit_assessment,4,result_code,varchar,64,0,0,1,0,0
analysis,circuit_assessment,5,assessment_kind,varchar,64,0,0,0,0,0
analysis,compatibility_assessment,1,assessment_pk,bigint,8,19,0,0,0,0
analysis,compatibility_assessment,2,producer_contract_version_pk,bigint,8,19,0,0,0,0
analysis,compatibility_assessment,3,consumer_contract_version_pk,bigint,8,19,0,0,0,0
analysis,compatibility_assessment,4,authority_definition_pk,bigint,8,19,0,1,0,0
analysis,compatibility_assessment,5,result_code,varchar,64,0,0,1,0,0
analysis,compatibility_assessment,6,assessment_kind,varchar,64,0,0,0,0,0
analysis,coverage_assessment,1,assessment_pk,bigint,8,19,0,0,0,0
analysis,coverage_assessment,2,source_profile,nvarchar,400,0,0,0,0,0
analysis,coverage_assessment,3,count_unit,varchar,64,0,0,0,0,0
analysis,coverage_assessment,4,total_count,bigint,8,19,0,0,0,0
analysis,coverage_assessment,5,normalized_count,bigint,8,19,0,0,0,0
analysis,coverage_assessment,6,unresolved_count,bigint,8,19,0,0,0,0
analysis,coverage_assessment,7,unsupported_count,bigint,8,19,0,0,0,0
analysis,coverage_assessment,8,outside_count,bigint,8,19,0,0,0,0
analysis,coverage_assessment,9,assessment_kind,varchar,64,0,0,0,0,0
analysis,integrity_finding,1,integrity_finding_pk,bigint,8,19,0,0,1,0
analysis,integrity_finding,2,assessment_pk,bigint,8,19,0,0,0,0
analysis,integrity_finding,3,finding_digest,binary,32,0,0,0,0,0
analysis,integrity_finding,4,finding_code,varchar,64,0,0,0,0,0
analysis,integrity_finding,5,severity,varchar,64,0,0,0,0,0
analysis,integrity_finding,6,source_observation_pk,bigint,8,19,0,1,0,0
analysis,integrity_finding,7,subject_definition_pk,bigint,8,19,0,1,0,0
analysis,integrity_finding,8,expected_content_pk,bigint,8,19,0,1,0,0
analysis,integrity_finding,9,observed_content_pk,bigint,8,19,0,1,0,0
analysis,integrity_finding,10,message,nvarchar,-1,0,0,0,0,0
analysis,integrity_rule,1,integrity_rule_pk,bigint,8,19,0,0,1,0
analysis,integrity_rule,2,rule_id,nvarchar,400,0,0,0,0,0
analysis,integrity_rule,3,rule_digest,binary,32,0,0,0,0,0
analysis,integrity_rule,4,layer,tinyint,1,3,0,0,0,0
